LoadDump: 320 x 240 : 3
LoadDump: 320 x 240 : 3
LoadDump: 320 x 240 : 3
LoadDump: 320 x 240 : 3
samples=288152 size=1 D=2 S=0
Background color: (1078947517,1193252365,1078573555)
776,229910,64193,57
777,230150,63953,57
778,230371,63732,57
779,230451,63652,57
780,230456,63647,57
781,230465,63638,57
782,230796,63307,57
783,230938,63165,57
784,230938,63165,57
785,230944,63159,57
786,230997,63106,57
787,231238,62865,57
788,231262,62841,57
789,231263,62840,57
790,231319,62784,57
791,231758,62344,58
792,231758,62344,58
793,231776,62326,58
794,231776,62326,58
795,232087,62014,59
796,232089,62011,60
797,232089,62011,60
798,232144,61955,61
799,232245,61853,62
800,232245,61853,62
801,232245,61853,62
802,232594,61504,62
803,232612,61486,62
804,232780,61318,62
805,232878,61220,62
806,233170,60928,62
807,233294,60804,62
808,233294,60804,62
809,233297,60801,62
810,233482,60616,62
811,233517,60581,62
812,233753,60345,62
813,233753,60345,62
814,233794,60304,62
815,233971,60127,62
816,233971,60127,62
817,234073,60025,62
818,234464,59634,62
819,234654,59442,64
820,234789,59306,65
821,234801,59294,65
822,234900,59195,65
823,235023,59072,65
824,235023,59072,65
825,235118,58977,65
826,235264,58831,65
827,235277,58818,65
828,235490,58600,70
829,235490,58600,70
830,235613,58477,70
831,235712,58378,70
832,235712,58378,70
833,235837,58253,70
834,236015,58075,70
835,236138,57952,70
836,236151,57939,70
837,236357,57733,70
838,236656,57434,70
839,236748,57342,70
840,236748,57342,70
841,236750,57340,70
842,236772,57317,71
843,236856,57233,71
844,237155,56934,71
845,237157,56932,71
846,237298,56791,71
847,237460,56627,73
848,237460,56627,73
849,237463,56624,73
850,237576,56511,73
851,237711,56376,73
852,237767,56320,73
853,237767,56320,73
854,237876,56210,74
855,238341,55745,74
856,238341,55745,74
857,238347,55739,74
858,238686,55399,75
859,238717,55368,75
860,238877,55208,75
861,238877,55208,75
862,238891,55188,81
863,238895,55184,81
864,238895,55184,81
865,239021,55058,81
866,239024,55055,81
867,239346,54730,84
868,239437,54636,87
869,239468,54605,87
870,239755,54317,88
871,239870,54202,88
872,239870,54202,88
873,239870,54202,88
874,239919,54150,91
875,240035,54034,91
876,240067,54002,91
877,240067,54002,91
878,240137,53932,91
879,240181,53888,91
880,240181,53888,91
881,240181,53888,91
882,240787,53282,91
883,241082,52987,91
884,241087,52982,91
885,241095,52974,91
886,241191,52878,91
887,241210,52859,91
888,241210,52859,91
889,241303,52766,91
890,241382,52687,91
891,241767,52300,93
892,241777,52290,93
893,241777,52290,93
894,241897,52170,93
895,242059,52008,93
896,242059,52008,93
897,242059,52008,93
898,242067,52000,93
899,242082,51985,93
900,242196,51871,93
901,242444,51623,93
902,242449,51617,94
903,242640,51426,94
904,242640,51426,94
905,242666,51399,95
906,242718,51347,95
907,243051,51014,95
908,243154,50911,95
909,243229,50836,95
910,243462,50603,95
911,243494,50571,95
912,243494,50571,95
913,243495,50570,95
914,243564,50501,95
915,243654,50411,95
916,243817,50248,95
917,244019,50046,95
918,244109,49956,95
919,244116,49949,95
920,244116,49949,95
921,244117,49948,95
922,244135,49930,95
923,244202,49861,97
924,244262,49801,97
925,244262,49801,97
926,244317,49746,97
927,244659,49404,97
928,244659,49404,97
929,244659,49404,97
930,245001,49062,97
931,245104,48959,97
932,245248,48815,97
933,245248,48815,97
934,245441,48622,97
935,245602,48461,97
936,245602,48461,97
937,245920,48143,97
938,245976,48087,97
939,246053,48010,97
940,246071,47992,97
941,246071,47992,97
942,246474,47588,98
943,246481,47581,98
944,246481,47581,98
945,246483,47579,98
946,246520,47542,98
947,246698,47364,98
948,246704,47358,98
949,246821,47241,98
950,246822,47240,98
951,246994,47067,99
952,246994,47067,99
953,247015,47046,99
954,247059,47002,99
955,247118,46943,99
956,247118,46943,99
957,247118,46943,99
958,247299,46762,99
959,247438,46623,99
960,247438,46623,99
961,247438,46623,99
962,247515,46546,99
963,247678,46382,100
964,247786,46274,100
965,247861,46199,100
966,248167,45892,101
967,248171,45882,107
968,248171,45882,107
969,248185,45866,109
970,248397,45652,111
971,248482,45567,111
972,248515,45534,111
973,248525,45524,111
974,248554,45495,111
975,248811,45238,111
976,248811,45238,111
977,248820,45229,111
978,248866,45183,111
979,249153,44896,111
980,249241,44808,111
981,249304,44745,111
982,249485,44564,111
983,249524,44525,111
984,249524,44525,111
985,249542,44507,111
986,249845,44204,111
987,249950,44098,112
988,250076,43972,112
989,250076,43972,112
990,250184,43863,113
991,250263,43784,113
992,250263,43784,113
993,250265,43782,113
994,250291,43756,113
995,250295,43747,118
996,250394,43648,118
997,250403,43639,118
998,250405,43637,118
999,250429,43612,119
1000,250429,43612,119
1001,250541,43500,119
1002,250844,43197,119
1003,250846,43195,119
1004,250895,43145,120
1005,251085,42955,120
1006,251134,42904,122
1007,251217,42821,122
1008,251217,42821,122
1009,251217,42821,122
1010,251298,42740,122
1011,251528,42510,122
1012,251748,42287,125
1013,251748,42287,125
1014,251797,42238,125
1015,251887,42148,125
1016,251887,42148,125
1017,251891,42143,126
1018,251906,42128,126
1019,252136,41898,126
1020,252146,41888,126
1021,252146,41888,126
1022,252236,41798,126
1023,252363,41668,129
1024,252363,41668,129
1025,252363,41668,129
1026,252522,41509,129
1027,252574,41450,136
1028,252586,41438,136
1029,252637,41387,136
1030,252884,41140,136
1031,252970,41054,136
1032,252970,41054,136
1033,253067,40957,136
1034,253072,40952,136
1035,253475,40549,136
1036,253702,40322,136
1037,253703,40321,136
1038,253745,40279,136
1039,253776,40248,136
1040,253776,40248,136
1041,253776,40248,136
1042,253951,40072,137
1043,253953,40070,137
1044,254113,39910,137
1045,254141,39882,137
1046,254144,39879,137
1047,254264,39759,137
1048,254264,39759,137
1049,254264,39759,137
1050,254420,39603,137
1051,254438,39585,137
1052,254438,39585,137
1053,254438,39585,137
1054,254600,39423,137
1055,254877,39146,137
1056,254877,39146,137
1057,254880,39143,137
1058,254935,39085,140
1059,254992,39028,140
1060,255022,38998,140
1061,255023,38997,140
1062,255160,38860,140
1063,255383,38633,144
1064,255383,38633,144
1065,255395,38621,144
1066,255466,38550,144
1067,255591,38425,144
1068,255753,38263,144
1069,255819,38197,144
1070,255835,38181,144
1071,255929,38084,147
1072,255929,38084,147
1073,255929,38084,147
1074,256056,37957,147
1075,256195,37818,147
1076,256223,37790,147
1077,256326,37687,147
1078,256384,37629,147
1079,256515,37498,147
1080,256515,37498,147
1081,256632,37381,147
1082,256886,37127,147
1083,257087,36926,147
1084,257099,36914,147
1085,257099,36914,147
1086,257204,36809,147
